year,channel_name,Commitments,Disbursements
2015,European Bank for Reconstruction and Development,38.852235,41.593463
2015,European Investment Bank,35.607078,43.662524000000005
2015,Inter-American Development Bank,371.064381,396.505059
2015,International Bank for Reconstruction and Development,950.194817,1186.724554
2015,Islamic Development Bank,8.534656,15.850221999999999
2016,African Development Bank,258.645597,564.515011
2016,Asian Development Bank,171.780084,117.117624
2016,Asian Infrastructure Investment Bank,3564.149561,4397.956848
2016,Black Sea Trade and Development Bank,9.87426,13.059687
2016,Caribbean Development Bank,65.714777,77.13405800000001
2016,Central American Bank for Economic Integration,0.0,0.0
2016,Council of Europe Development Bank,0.33594500000000005,0.357254
2016,Development Bank of Latin America,0.0,0.0
2016,European Bank for Reconstruction and Development,36.910307,35.013335000000005
2016,European Investment Bank,25.487707999999998,25.567449
2016,Inter-American Development Bank,383.034437,438.778253
2016,International Bank for Reconstruction and Development,992.926962,913.7512959999999
2016,Islamic Development Bank,0.0,205.299977
2017,African Development Bank,712.093397,522.00742
2017,Asian Development Bank,324.559409,174.717851
2017,Asian Infrastructure Investment Bank,1968.501807,3031.1019969999998
2017,Black Sea Trade and Development Bank,12.098111,25.540195
2017,Caribbean Development Bank,152.336391,64.444932
2017,Central American Bank for Economic Integration,0.0,0.0
2017,Council of Europe Development Bank,0.7684629999999998,0.7684629999999998
2017,Development Bank of Latin America,105.665444,114.71395199999999
2017,European Bank for Reconstruction and Development,57.937386,57.214293
2017,European Investment Bank,27.704613,35.543485
2017,Inter-American Development Bank,467.68827100000004,356.651765
2017,International Bank for Reconstruction and Development,136.399454,219.60685
2017,Islamic Development Bank,0.602345,340.46972400000004
2018,African Development Bank,182.436536,496.998179
2018,Asian Development Bank,88.285476,185.380504
2018,Asian Infrastructure Investment Bank,1486.713607,3161.833158
2018,Black Sea Trade and Development Bank,21.844565,33.384186
2018,Caribbean Development Bank,7.525563,49.315796
2018,Central American Bank for Economic Integration,0.0,0.0
2018,Council of Europe Development Bank,0.451561,0.452048
