year,donor_name,usd_commitment,usd_disbursement
2022,Total,347535.48398099997,296249.40855299996
2022,International Bank for Reconstruction and Development,31844.81761,27343.95294
2022,Asian Development Bank,17970.585633,19849.140659999997
2022,Islamic Development Bank,11399.136632000002,9753.276421999999
2022,Inter-American Development Bank,11051.517674,9745.963719
2022,Development Bank of Latin America,12148.426166,6782.0
2022,European Investment Bank,6093.45883,6628.925231
2022,Asian Infrastructure Investment Bank,6606.184935,6173.113302
2022,European Bank for Reconstruction and Development,9697.680259,6041.895015
2022,African Development Bank,3851.3954000000003,3394.945452
2022,Central American Bank for Economic Integration,4055.7108369999996,2051.0585539999997
2022,Council of Europe Development Bank,1047.106951,689.326953
2022,Caribbean Development Bank,40.1534,154.001419
2022,Black Sea Trade & Development Bank,15.0,117.417184
2022,North American Development Bank,23.987000000000002,24.786
2021,Total,335083.628478,279743.915487
2021,International Bank for Reconstruction and Development,29066.000298,23722.82232
2021,Asian Development Bank,19823.769098,18331.123249
2021,Inter-American Development Bank,11291.531638,10318.835361
2021,Islamic Development Bank,8622.714109999999,7681.481382999999
2021,Development Bank of Latin America,11245.151272,7660.0
2021,Asian Infrastructure Investment Bank,9511.795,6927.0068599999995
2021,European Investment Bank,6255.53453,6515.766310999999
2021,European Bank for Reconstruction and Development,8927.999632,5865.541107
2021,Central American Bank for Economic Integration,2976.40354,2661.838475
2021,African Development Bank,2560.40223,2471.43211
2021,Council of Europe Development Bank,407.689806,607.144491
2021,Black Sea Trade & Development Bank,72.967914,275.43009
2021,Caribbean Development Bank,77.58666,160.164127
2021,International Investment Bank,50.197298,43.689945
2021,North American Development Bank,1.0,5.696000000000001
2021,Arab Bank for Economic Development in Africa,803.7998,0.0
2020,Total,385794.976581,287905.142889
2020,International Bank for Reconstruction and Development,30887.664525,24903.42951
2020,Asian Development Bank,28764.766193,23839.952943999997
2020,Inter-American Development Bank,11677.353041999999,11088.594737
2020,Development Bank of Latin America,11754.558794999999,8805.0
2020,European Bank for Reconstruction and Development,9351.198698,6157.823045
2020,European Investment Bank,7708.017094000001,5956.120801
2020,Asian Infrastructure Investment Bank,9614.65,5248.740651
2020,African Development Bank,6038.015617,4776.842814
2020,Islamic Development Bank,6791.920148,2488.4674489999998
2020,Central American Bank for Economic Integration,3338.9570000000003,1729.199098
2020,Black Sea Trade & Development Bank,262.478632,439.95835300000005
2020,Council of Europe Development Bank,1076.524217,269.129561
2020,Caribbean Development Bank,445.014,158.738
2020,International Investment Bank,96.304843,93.0
2020,North American Development Bank,7.953,13.384
2020,Arab Bank for Economic Development in Africa,782.949723,0.0
2019,Total,287832.881934,213625.345851
2019,International Bank for Reconstruction and Development,22515.696001,19472.877941
2019,Asian Development Bank,21915.768151,16717.258382
2019,Inter-American Development Bank,10668.334916,8995.718195
2019,Development Bank of Latin America,9991.42028,8213.0
2019,European Bank for Reconstruction and Development,8303.541133,5654.593248
2019,European Investment Bank,4984.544954,4741.400438000001
2019,African Development Bank,5046.333723999999,3597.800073
2019,Islamic Development Bank,7732.247103,2685.167836
2019,Asian Infrastructure Investment Bank,4050.944,478.435766
2019,Council of Europe Development Bank,295.00616,408.888389
2019,Caribbean Development Bank,115.43599999999999,180.48346
2019,International Investment Bank,79.491556,62.824889
2019,Arab Bank for Economic Development in Africa,245.53,0.0
2018,Total,283645.595187,207447.914106
2018,International Bank for Reconstruction and Development,19985.419998,17051.865966
2018,Asian Development Bank,21640.3701,14181.891731
2018,Inter-American Development Bank,12256.038663000001,9246.489176000001
2018,Development Bank of Latin America,11913.710793999999,8920.0
2018,European Investment Bank,6490.514578,6490.514578
2018,European Bank for Reconstruction and Development,7763.134666,5846.685948
2018,African Development Bank,3983.920952,4364.2336510000005
2018,Islamic Development Bank,6962.403032,2267.33888
2018,Asian Infrastructure Investment Bank,3308.876,381.527507
2018,Council of Europe Development Bank,91.639326,336.590825
2018,Caribbean Development Bank,152.50362,62.16644000000001
2017,Total,282124.604262,195816.904893
2017,International Bank for Reconstruction and Development,18538.440147,16152.857031
2017,Asian Development Bank,19744.94659,11745.063391
2017,Development Bank of Latin America,12293.007,9057.0
2017,Inter-American Development Bank,11405.043864,8906.207693
2017,European Investment Bank,6312.827187,6312.827187
2017,African Development Bank,6379.33852,5310.39212
2017,European Bank for Reconstruction and Development,6788.524759,4373.501181
2017,Islamic Development Bank,9586.498832,2296.64579
2017,Asian Infrastructure Investment Bank,2351.2999999999997,715.16205
2017,Council of Europe Development Bank,437.640625,294.354638
2017,Caribbean Development Bank,203.96723,108.29055
2016,Total,229760.31949199998,178967.692725
2016,International Bank for Reconstruction and Development,21455.359801,17709.603592
2016,Asian Development Bank,13307.810950000001,12775.08715
2016,Inter-American Development Bank,10107.22621,9441.11887
2016,European Investment Bank,6925.732606,6820.330639000001
2016,European Bank for Reconstruction and Development,6401.473221,5799.054512
2016,African Development Bank,7315.56778,4669.3648
2016,Islamic Development Bank,9322.119223,1975.16314
