year,donor_name,usd_commitment,usd_disbursement
2016,Council of Europe Development Bank,36.442553000000004,334.470598
2016,Caribbean Development Bank,286.04082,122.00885
2016,Asian Infrastructure Investment Bank,1429.0,9.695424
2015,Total,224443.760172,173632.32615
2015,International Bank for Reconstruction and Development,23623.3853,19256.286297
2015,Asian Development Bank,16037.813189999999,12484.10766
2015,Inter-American Development Bank,11585.8762,11063.92311
2015,European Bank for Reconstruction and Development,7568.131734,5025.505066
2015,European Investment Bank,5578.161026,4945.807495
2015,African Development Bank,4643.0772,2499.84804
2015,Islamic Development Bank,4969.810602,2028.03088
2015,Council of Europe Development Bank,610.23849,305.858292
2015,Caribbean Development Bank,198.092982,142.506363
2015,Arab Bank for Economic Development in Africa,0.0,125.568847
2014,Total,223306.934124,159167.901021
2014,International Bank for Reconstruction and Development,22872.365016,15880.431717
2014,Inter-American Development Bank,13760.531474,10727.235994
2014,Asian Development Bank,13833.81632,10398.051926
2014,European Investment Bank,7779.6787699999995,5793.384497
2014,European Bank for Reconstruction and Development,7784.093638,4823.359967
2014,African Development Bank,3100.603961,3182.3684909999997
2014,Islamic Development Bank,4762.532152999999,1762.586487
2014,Council of Europe Development Bank,342.734376,362.560842
2014,Arab Bank for Economic Development in Africa,199.289,125.98708599999999
2013,Total,190268.137593,157153.416654
2013,International Bank for Reconstruction and Development,14134.164306,16262.437889
2013,Inter-American Development Bank,14629.77963,11996.66903
2013,Asian Development Bank,14125.297833,8858.870997
2013,European Investment Bank,8356.982549,6614.380370999999
2013,European Bank for Reconstruction and Development,5298.825316,3960.624357
2013,African Development Bank,1871.523429,2447.345884
2013,Islamic Development Bank,4384.10085,1692.597724
2013,Council of Europe Development Bank,422.198618,419.022966
2013,Arab Bank for Economic Development in Africa,199.84,132.523
2012,Total,186376.290447,143767.774035
2012,International Bank for Reconstruction and Development,18656.832783,15136.127185
2012,Asian Development Bank,11083.8302,8734.432787
2012,Inter-American Development Bank,11247.10839,8065.751493999999
2012,European Investment Bank,9006.838536,6888.154013
2012,African Development Bank,2937.789214,3624.54946
2012,European Bank for Reconstruction and Development,4991.114289,3500.9093740000003
2012,Islamic Development Bank,3782.05666,1584.1460200000001
2012,Council of Europe Development Bank,214.395887,266.509432
2012,Arab Bank for Economic Development in Africa,205.46419,122.01158
2011,Total,175850.645427,140098.572933
2011,International Bank for Reconstruction and Development,17350.616284,15971.048225
2011,Inter-American Development Bank,11091.024057,8890.770113
2011,Asian Development Bank,11182.330362,7566.026558
2011,European Investment Bank,5621.37945,6404.9146
2011,European Bank for Reconstruction and Development,5333.473687,4021.962087
2011,African Development Bank,4187.476015,3176.026769
2011,Council of Europe Development Bank,298.826474,572.746844
2011,Arab Bank for Economic Development in Africa,180.32296,96.029115
2011,Islamic Development Bank,3371.4325200000003,0.0
2010,Total,221966.69947500003,179716.445985
2010,International Bank for Reconstruction and Development,34520.000585,26511.448745
2010,Inter-American Development Bank,13457.1919,12168.923278
2010,European Investment Bank,5737.203113,8266.836406
2010,Asian Development Bank,8691.488,7201.254008
2010,European Bank for Reconstruction and Development,5551.358436,3399.169542
2010,African Development Bank,1950.6905980000001,2169.679726
2010,Council of Europe Development Bank,866.953643,188.17029
2010,Islamic Development Bank,3214.01355,0.0
